¿¬µµ,°è,1,2,3,4,5,6,7,8,9,10,11,12
2001,2637,5,1,1,1,1,0,4,4,7,1007,1499,107
2002,1919,6,3,3,1,7,7,3,5,22,962,843,57
2003,1415,5,3,2,4,7,6,3,1,9,642,642,91
2004,4698,7,1,2,2,6,6,0,6,14,1829,2667,158
2005,6780,10,2,0,3,4,9,7,5,24,2159,4167,390
2006,6480,11,3,4,13,8,9,5,5,29,2054,3766,573
2007,6022,25,10,6,11,13,17,12,11,26,1123,4374,394
2008,6057,14,10,2,8,22,8,12,6,38,3035,2547,355
2009,4995,39,17,13,15,14,21,14,12,51,1739,2641,419
2010,5671,23,13,11,16,27,27,27,27,60,1203,3832,405
2011,5151,37,11,10,13,25,24,18,28,77,1825,2718,365
2012,8604,51,41,15,17,20,14,25,36,102,3680,4341,262
2013,10365,25,16,6,9,30,31,39,26,75,3656,6042,410
2014,8130,34,12,19,27,45,27,37,47,259,4066,3302,255
2015,9513,37,18,34,35,51,78,41,65,151,3425,5070,508
2016,11105,81,68,60,101,191,202,98,96,227,2150,7121,710
2017,10528,65,24,32,81,162,183,182,171,340,3250,5542,496
2018,6668,91,41,65,169,296,234,232,133,193,1908,2995,311
2019,4005,49,33,46,73,112,107,119,160,174,489,2283,360
2020,4479,57,29,24,43,72,80,80,59,101,890,2594,450
2021,5915,67,44,49,68,97,108,105,101,94,1219,3469,494
2022,6235,104,45,33,67,94,130,121,123,180,1547,3423,368
2023,5663,99,58,70,97,118,151,98,133,131,925,3323,460
